commercial_area,total_sales,total_shops,avg_sales_per_shop
구역삼세무서,107493270933.0,14064.0,7643150.6636
천호역 6번,32731964378.0,4290.0,7629828.5263
문정초등학교,28763559683.0,3774.0,7621504.9505
월드순복음교회,9321788808.0,1224.0,7615840.5294
누원고등학교,3059988484.0,402.0,7611911.6517
신금호역 골목형상점가,11918409793.0,1566.0,7610734.2229
"신림역 5번(신림동주민센터, 신림동별빛거리)",36560213768.0,4818.0,7588255.2445
암사역 4번(삼성광나루아파트),2731668566.0,360.0,7587968.2389
건대입구역 1번,14300581900.0,1890.0,7566445.4497
충무초등학교,10119616434.0,1338.0,7563240.9821
수궁동주민센터,12978968924.0,1722.0,7537148.0395
독산2동주민센터,19354763154.0,2568.0,7536901.5397
영등포역 2번,18441248789.0,2448.0,7533189.8648
개봉중학교,12160377056.0,1620.0,7506405.5901
방이역 2번,19403233244.0,2586.0,7503183.7757
우사단길,31855665845.0,4248.0,7498979.7187
용마초등학교,25875339312.0,3456.0,7487077.3472
도봉역 2번,31774822214.0,4260.0,7458878.454
방학역 2번,28939517238.0,3882.0,7454795.7852
해방촌 남동측,30001297380.0,4026.0,7451887.079
아현가구거리상점가,14038635088.0,1884.0,7451504.8238
숭실대입구역 4번,20099768396.0,2700.0,7444358.6652
혜원여고,5306737453.0,714.0,7432405.3964
서울금융고등학교,1470988167.0,198.0,7429233.1667
송파나루역 1번(송리단길),68371510654.0,9210.0,7423616.792
가산디지털단지역 1번 출입구,7303462823.0,984.0,7422218.3161
사근동살곶이상점가,9481882568.0,1278.0,7419313.4335
러스크서울병원,14503780384.0,1956.0,7415020.6462
연신내역 2번,14357051722.0,1938.0,7408179.4231
중곡어린이공원,5182430528.0,702.0,7382379.6695
보문역 5번,11858648091.0,1608.0,7374781.1511
시흥4동주민센터(서울신흥초등학교),16031672429.0,2178.0,7360731.1428
