commercial_area,time,total_sales
강동성심병원,06-11,708841462.0
강동성심병원,11-14,1441419583.0
강동성심병원,14-17,722855287.0
강동성심병원,17-21,927904256.0
강동성심병원,21-24,503341033.0
강동역 4번(강풀만화거리),00-06,794515953.0
강동역 4번(강풀만화거리),06-11,449147050.0
강동역 4번(강풀만화거리),11-14,3703182342.0
강동역 4번(강풀만화거리),14-17,1970528960.0
강동역 4번(강풀만화거리),17-21,9702304481.0
강동역 4번(강풀만화거리),21-24,5304440084.0
강변역(테크노마트),00-06,8176576.0
강변역(테크노마트),06-11,2298725243.0
강변역(테크노마트),11-14,9868282286.0
강변역(테크노마트),14-17,5118213031.0
강변역(테크노마트),17-21,6399512699.0
강변역(테크노마트),21-24,390449061.0
강북구청,00-06,1316709760.0
강북구청,06-11,120098164.0
강북구청,11-14,1280110249.0
강북구청,14-17,901388361.0
강북구청,17-21,4640206588.0
강북구청,21-24,3167454263.0
강북문화예술회관,00-06,79225758.0
강북문화예술회관,06-11,349865517.0
강북문화예술회관,11-14,968214672.0
강북문화예술회관,14-17,339868599.0
강북문화예술회관,17-21,722589255.0
강북문화예술회관,21-24,369300058.0
강북북부골목시장,00-06,11144692.0
강북북부골목시장,06-11,7025522.0
강북북부골목시장,11-14,89481694.0
강북북부골목시장,14-17,80517936.0
강북북부골목시장,17-21,386523325.0
강북북부골목시장,21-24,226683732.0
강북종합전통시장(강북종합골목시장),00-06,2399290181.0
강북종합전통시장(강북종합골목시장),06-11,601413755.0
강북종합전통시장(강북종합골목시장),11-14,3100091889.0
강북종합전통시장(강북종합골목시장),14-17,2555384754.0
강북종합전통시장(강북종합골목시장),17-21,9396263367.0
강북종합전통시장(강북종합골목시장),21-24,5825849861.0
강북중학교,00-06,44934563.0
강북중학교,06-11,48765380.0
강북중학교,11-14,1226409241.0
강북중학교,14-17,527037526.0
강북중학교,17-21,1724933974.0
강북중학교,21-24,368399868.0
강서고등학교,00-06,105684071.0
강서고등학교,06-11,15488292.0
강서고등학교,11-14,295687791.0
강서고등학교,14-17,158029336.0
강서고등학교,17-21,743718883.0
강서고등학교,21-24,511626922.0
강서구다솔마을,00-06,531971085.0
강서구다솔마을,06-11,679046188.0
강서구다솔마을,11-14,4369028978.0
강서구다솔마을,14-17,784255179.0
강서구다솔마을,17-21,1190107386.0
강서구다솔마을,21-24,631078089.0
강서구청,00-06,12042977563.0
강서구청,06-11,2590540912.0
강서구청,11-14,9488757811.0
강서구청,14-17,4448299566.0
강서구청,17-21,19119189304.0
강서구청,21-24,15700827050.0
강서구청가양동별관,00-06,0.0
강서구청가양동별관,06-11,97848373.0
강서구청가양동별관,11-14,460640813.0
강서구청가양동별관,14-17,123338234.0
강서구청가양동별관,17-21,254215658.0
강서구청가양동별관,21-24,24870061.0
강서구청옆,00-06,329000365.0
강서구청옆,06-11,28654188.0
강서구청옆,11-14,1085138252.0
강서구청옆,14-17,444375175.0
강서구청옆,17-21,2757378581.0
강서구청옆,21-24,1274799861.0
강서농산물도매시장,00-06,196641014.0
강서농산물도매시장,06-11,429292765.0
강서농산물도매시장,11-14,1716832526.0
강서농산물도매시장,14-17,1630755750.0
강서농산물도매시장,17-21,3470839672.0
강서농산물도매시장,21-24,1122053835.0
강서새말어린이공원,00-06,0.0
강서새말어린이공원,06-11,684566.0
강서새말어린이공원,11-14,94449293.0
강서새말어린이공원,14-17,30110512.0
강서새말어린이공원,17-21,57327177.0
강서새말어린이공원,21-24,2038138.0
강일동주민센터,00-06,63508059.0
강일동주민센터,06-11,689241953.0
강일동주민센터,11-14,2147490825.0
강일동주민센터,14-17,1264677448.0
강일동주민센터,17-21,2463654068.0
강일동주민센터,21-24,598306761.0
개나리아파트,00-06,207790157.0
개나리아파트,06-11,1646411825.0
개나리아파트,11-14,7306742244.0
개나리아파트,14-17,1935156748.0
개나리아파트,17-21,4556130371.0
개나리아파트,21-24,1497942241.0
개롱역,00-06,1145601336.0
개롱역,06-11,1116767003.0
개롱역,11-14,7714621973.0
개롱역,14-17,2932600192.0
개롱역,17-21,11528408619.0
개롱역,21-24,5230163618.0
개봉1동주민센터,00-06,370931031.0
개봉1동주민센터,06-11,210823913.0
개봉1동주민센터,11-14,2686011120.0
개봉1동주민센터,14-17,1419826795.0
개봉1동주민센터,17-21,4340060593.0
개봉1동주민센터,21-24,1315680124.0
개봉3동주민센터,00-06,139371.0
개봉3동주민센터,06-11,31110400.0
개봉3동주민센터,11-14,49568238.0
개봉3동주민센터,14-17,40908502.0
개봉3동주민센터,17-21,153532145.0
개봉3동주민센터,21-24,36211008.0
개봉동 현대아파트,00-06,920862778.0
개봉동 현대아파트,06-11,885243475.0
개봉동 현대아파트,11-14,4896816049.0
개봉동 현대아파트,14-17,2743319393.0
개봉동 현대아파트,17-21,10256110623.0
개봉동 현대아파트,21-24,3957570600.0
개봉역,00-06,690230153.0
개봉역,06-11,755362439.0
개봉역,11-14,2139320175.0
개봉역,14-17,1537156618.0
개봉역,17-21,4886566547.0
개봉역,21-24,2311084739.0
개봉중앙시장,00-06,190051532.0
개봉중앙시장,06-11,613048589.0
개봉중앙시장,11-14,1793992473.0
개봉중앙시장,14-17,1492745951.0
개봉중앙시장,17-21,4198538589.0
개봉중앙시장,21-24,1586294495.0
개봉중학교,00-06,3877357.0
개봉중학교,06-11,9143940.0
개봉중학교,11-14,1101388296.0
개봉중학교,14-17,558815079.0
개봉중학교,17-21,2747587374.0
개봉중학교,21-24,643700735.0
개봉초등학교,00-06,117442956.0
개봉초등학교,06-11,15501047.0
개봉초등학교,11-14,291535325.0
개봉초등학교,14-17,145272734.0
개봉초등학교,17-21,672599680.0
개봉초등학교,21-24,279983344.0
개웅초등학교(개웅중학교),00-06,97289628.0
개웅초등학교(개웅중학교),06-11,8341288.0
개웅초등학교(개웅중학교),11-14,212779380.0
개웅초등학교(개웅중학교),14-17,94433463.0
개웅초등학교(개웅중학교),17-21,612341973.0
개웅초등학교(개웅중학교),21-24,360276928.0
개포고등학교,00-06,34431867.0
개포고등학교,06-11,325647545.0
개포고등학교,11-14,4690811012.0
개포고등학교,14-17,1438539266.0
개포고등학교,17-21,4526784993.0
개포고등학교,21-24,536988719.0
개포지구대옆,00-06,0.0
개포지구대옆,06-11,59251842.0
개포지구대옆,11-14,686378250.0
개포지구대옆,14-17,119385962.0
개포지구대옆,17-21,115534924.0
개포지구대옆,21-24,7962922.0
개화산역 1번,00-06,875728459.0
개화산역 1번,06-11,54208719.0
개화산역 1번,11-14,1031729570.0
개화산역 1번,14-17,314183869.0
개화산역 1번,17-21,1867157314.0
개화산역 1번,21-24,1527161885.0
거여역,00-06,1267783325.0
거여역,06-11,1019828043.0
거여역,11-14,5971537809.0
거여역,14-17,3421775662.0
거여역,17-21,12175112727.0
거여역,21-24,4340782133.0
거여역 1번(거여공원),00-06,199045803.0
거여역 1번(거여공원),06-11,261613296.0
거여역 1번(거여공원),11-14,2136633978.0
거여역 1번(거여공원),14-17,1053692355.0
거여역 1번(거여공원),17-21,3543854106.0
거여역 1번(거여공원),21-24,1029809324.0
거여초등학교,00-06,0.0
거여초등학교,06-11,5214418.0
거여초등학교,11-14,16670805.0
거여초등학교,14-17,7591534.0
거여초등학교,17-21,2112204.0
거여초등학교,21-24,0.0
건대입구역 1번,00-06,1986099037.0
건대입구역 1번,06-11,147788551.0
건대입구역 1번,11-14,1363345356.0
건대입구역 1번,14-17,455013539.0
건대입구역 1번,17-21,3160978208.0
건대입구역 1번,21-24,3663588099.0
건대입구역 6번,00-06,950532944.0
건대입구역 6번,06-11,235036470.0
건대입구역 6번,11-14,1806426721.0
건대입구역 6번,14-17,2010748364.0
건대입구역 6번,17-21,9575773673.0
건대입구역 6번,21-24,5347232292.0
건대입구역(건대),00-06,23345884214.0
건대입구역(건대),06-11,5455514895.0
건대입구역(건대),11-14,28469834247.0
건대입구역(건대),14-17,22430303737.0
건대입구역(건대),17-21,65924731572.0
건대입구역(건대),21-24,45275029607.0
경기고교사거리(경기고교앞사거리),00-06,45118786.0
경기고교사거리(경기고교앞사거리),06-11,185204113.0
경기고교사거리(경기고교앞사거리),11-14,2231560175.0
경기고교사거리(경기고교앞사거리),14-17,445923494.0
경기고교사거리(경기고교앞사거리),17-21,3302420219.0
경기고교사거리(경기고교앞사거리),21-24,1320330169.0
경기대학교,00-06,310019.0
경기대학교,06-11,1946953.0
경기대학교,11-14,25744816.0
경기대학교,14-17,8999777.0
경기대학교,17-21,30639559.0
경기대학교,21-24,10636234.0
경동고등학교,00-06,186971764.0
경동고등학교,06-11,7533510.0
경동고등학교,11-14,178716296.0
경동고등학교,14-17,148001749.0
경동고등학교,17-21,1987732194.0
경동고등학교,21-24,1185139896.0
경동광성상가(경동시장),00-06,0.0
경동광성상가(경동시장),06-11,3065390.0
경동광성상가(경동시장),11-14,52283233.0
경동광성상가(경동시장),14-17,7410917.0
경동광성상가(경동시장),17-21,14523586.0
경동광성상가(경동시장),21-24,900119.0
경동시장,00-06,34323.0
경동시장,06-11,168097767.0
경동시장,11-14,1308148043.0
경동시장,14-17,770727535.0
경동시장,17-21,742330216.0
경동시장,21-24,78236465.0
경리단길남측,00-06,1708853334.0
경리단길남측,06-11,476136394.0
경리단길남측,11-14,4904250893.0
경리단길남측,14-17,4297180389.0
경리단길남측,17-21,7750025147.0
경리단길남측,21-24,3505426507.0
경리단길북측,00-06,2899194764.0
경리단길북측,06-11,732476163.0
경리단길북측,11-14,2837159429.0
경리단길북측,14-17,2317463475.0
경리단길북측,17-21,7036052793.0
경리단길북측,21-24,6465939829.0
경문고등학교(동작동성당),00-06,16866583.0
경문고등학교(동작동성당),06-11,250360.0
경문고등학교(동작동성당),11-14,24510759.0
경문고등학교(동작동성당),14-17,20669835.0
경문고등학교(동작동성당),17-21,99567736.0
경문고등학교(동작동성당),21-24,50732124.0
경복고등학교,00-06,0.0
경복고등학교,06-11,43572740.0
경복고등학교,11-14,1040006425.0
경복고등학교,14-17,253351144.0
경복고등학교,17-21,493564958.0
경복고등학교,21-24,11373548.0
경복아파트교차로,00-06,986328597.0
경복아파트교차로,06-11,1166411427.0
경복아파트교차로,11-14,3794768660.0
경복아파트교차로,14-17,1260229590.0
경복아파트교차로,17-21,4212326896.0
경복아파트교차로,21-24,2945683284.0
경성고등학교,00-06,301732853.0
경성고등학교,06-11,381158037.0
경성고등학교,11-14,4579947399.0
경성고등학교,14-17,1974733768.0
경성고등학교,17-21,7188444615.0
경성고등학교,21-24,2356428550.0
경수초등학교,00-06,248518542.0
경수초등학교,06-11,606773849.0
경수초등학교,11-14,8485748273.0
경수초등학교,14-17,4394032363.0
경수초등학교,17-21,6293279196.0
경수초등학교,21-24,2436299449.0
경신고등학교,00-06,4617449.0
경신고등학교,06-11,64313611.0
경신고등학교,11-14,706227505.0
경신고등학교,14-17,121191214.0
경신고등학교,17-21,233976308.0
경신고등학교,21-24,23066993.0
경의선책거리,00-06,1368385757.0
경의선책거리,06-11,978086549.0
경의선책거리,11-14,4426323269.0
경의선책거리,14-17,4241041339.0
경의선책거리,17-21,6165379665.0
경의선책거리,21-24,3424517451.0
경의중앙 신촌역,00-06,216888960.0
경의중앙 신촌역,06-11,10323346.0
경의중앙 신촌역,11-14,1537182581.0
경의중앙 신촌역,14-17,1005656028.0
경의중앙 신촌역,17-21,2988355677.0
경의중앙 신촌역,21-24,713022043.0
경찰병원역,00-06,2921660013.0
경찰병원역,06-11,1738771441.0
경찰병원역,11-14,11977138738.0
경찰병원역,14-17,4673381781.0
경찰병원역,17-21,17629131943.0
경찰병원역,21-24,7550202122.0
경찰병원역 3번,00-06,1247629.0
경찰병원역 3번,06-11,42859278.0
경찰병원역 3번,11-14,373142939.0
경찰병원역 3번,14-17,108450732.0
경찰병원역 3번,17-21,142602826.0
경찰병원역 3번,21-24,16395913.0
경찰병원역 4번(건너말공원),00-06,605420.0
경찰병원역 4번(건너말공원),06-11,24070951.0
경찰병원역 4번(건너말공원),11-14,677388449.0
경찰병원역 4번(건너말공원),14-17,164787973.0
경찰병원역 4번(건너말공원),17-21,617186058.0
경찰병원역 4번(건너말공원),21-24,122577445.0
경찰청앞교차로,00-06,27966307.0
경찰청앞교차로,06-11,1639285763.0
경찰청앞교차로,11-14,4241672790.0
경찰청앞교차로,14-17,1893679439.0
경찰청앞교차로,17-21,1595006258.0
경찰청앞교차로,21-24,189277330.0
경창시장,00-06,53901778.0
경창시장,06-11,159458919.0
경창시장,11-14,914694754.0
경창시장,14-17,477462915.0
경창시장,17-21,1143563749.0
경창시장,21-24,303014971.0
경춘선숲길 우측,00-06,1672441852.0
경춘선숲길 우측,06-11,321471696.0
경춘선숲길 우측,11-14,5917865648.0
경춘선숲길 우측,14-17,2533365775.0
경춘선숲길 우측,17-21,9745225057.0
경춘선숲길 우측,21-24,4436543983.0
경향신문사,00-06,8820287.0
경향신문사,06-11,1126385539.0
경향신문사,11-14,7422208199.0
경향신문사,14-17,1479895069.0
경향신문사,17-21,2519618033.0
경향신문사,21-24,270719086.0
경희대삼거리,00-06,856741798.0
경희대삼거리,06-11,25126192.0
경희대삼거리,11-14,1391387084.0
경희대삼거리,14-17,994197017.0
경희대삼거리,17-21,6932337238.0
경희대삼거리,21-24,4813336549.0
경희대학교(경희대),00-06,4889110509.0
경희대학교(경희대),06-11,2423948313.0
경희대학교(경희대),11-14,15109469168.0
경희대학교(경희대),14-17,7542495560.0
경희대학교(경희대),17-21,17403772900.0
경희대학교(경희대),21-24,9031285731.0
경희대후문,00-06,35825710.0
경희대후문,06-11,399394457.0
경희대후문,11-14,1867658418.0
경희대후문,14-17,1031566650.0
경희대후문,17-21,1255812474.0
경희대후문,21-24,102868763.0
계상초등학교,00-06,256234027.0
계상초등학교,06-11,319942529.0
계상초등학교,11-14,1065265760.0
계상초등학교,14-17,643983182.0
계상초등학교,17-21,1608671620.0
계상초등학교,21-24,503465840.0
고대앞사거리,00-06,196985236.0
고대앞사거리,06-11,28947960.0
고대앞사거리,11-14,912832652.0
고대앞사거리,14-17,279821038.0
고대앞사거리,17-21,923609396.0
고대앞사거리,21-24,484604297.0
고덕 골목형상점가,00-06,171422593.0
고덕 골목형상점가,06-11,96792210.0
고덕 골목형상점가,11-14,1811066087.0
고덕 골목형상점가,14-17,725939664.0
고덕 골목형상점가,17-21,4685457127.0
고덕 골목형상점가,21-24,1229974496.0
고덕동성당,00-06,456506876.0
고덕동성당,06-11,205727042.0
고덕동성당,11-14,1185290967.0
고덕동성당,14-17,820965888.0
고덕동성당,17-21,4059268117.0
고덕동성당,21-24,2206854864.0
고덕역,00-06,1439320449.0
고덕역,06-11,3826348105.0
고덕역,11-14,19989911291.0
고덕역,14-17,12470218121.0
