commercial_area,night_sales,total_shops,night_per_shop,total_sales,night_index
삼선동주민센터,4623065052.0,1776.0,2603077.168918919,14025671349.0,0.32961452874265545
응암역 3번,2432787956.0,2298.0,1058654.4630113142,7386353701.0,0.3293625047593696
신사역,55181374220.0,10110.0,5458098.340257172,168072703416.0,0.32831847824461724
광진정말공원,2685519857.0,1158.0,2319101.776338515,8179820504.0,0.3283103652074955
목동로데오거리,1647798560.0,582.0,2831269.003436426,5024218855.0,0.32797109512061656
잠실새내역(신천),63664895771.0,11586.0,5494984.962109443,194477846598.0,0.327363228690001
사당역(사당),54211638903.0,10122.0,5355822.8515115585,165656777040.0,0.3272527684750856
노원역,72946473070.0,13566.0,5377154.140498305,223130598206.0,0.32692276925038277
봉천역 4번(봉천110안전센터),2275316847.0,1236.0,1840871.2354368933,6960461477.0,0.3268916658067153
금빛새마을금고본점,237125386.0,174.0,1362789.5747126436,725794517.0,0.32671145957417036
용두동신동아아파트,781327167.0,810.0,964601.4407407407,2391856141.0,0.32666143820561827
둔촌동역 4번,624655106.0,672.0,929546.2886904762,1913590819.0,0.3264308648420622
도화동 상점가,32204993987.0,6108.0,5272592.335789129,98747720548.0,0.3261340495585978
당곡중학교,2382314046.0,2052.0,1160971.7573099416,7306300403.0,0.32606297504846793
의릉,852566289.0,522.0,1633268.7528735632,2621159020.0,0.3252630925841348
덕수교,1017700934.0,312.0,3261861.967948718,3130994475.0,0.32504079522529344
조원동주민센터,512647354.0,264.0,1941846.0378787878,1577933192.0,0.32488533519611773
홍제역 4번,2145297358.0,498.0,4307826.0200803215,6614128932.0,0.3243507013630741
송파나루역 2번,9917209376.0,1398.0,7093855.061516452,30689401709.0,0.3231476934622571
신림역(신림),27663189834.0,6906.0,4005674.751520417,85850491205.0,0.3222251782805044
당산역 8번,863903964.0,168.0,5142285.5,2684914019.0,0.32176224560135536
신대방역 2번,6305868220.0,2148.0,2935692.839851024,19630639760.0,0.3212258131723772
해방촌 남동측,5547603715.0,3198.0,1734710.3549093183,17318848608.0,0.3203217396586876
면목2동체육관,1691684010.0,1134.0,1491784.8412698412,5289771697.0,0.31980283968765766
석계역 1번,6524547992.0,1596.0,4088062.6516290726,20424704566.0,0.31944393471722937
도림시장,15326073.0,36.0,425724.25,48039960.0,0.3190275970254763
안암역 3번,12612119693.0,3210.0,3929009.2501557632,39584225229.0,0.3186147921308858
양지어린이공원,1100239323.0,798.0,1378746.0187969925,3457865314.0,0.31818455118694655
경문고등학교(동작동성당),67598707.0,54.0,1251827.9074074074,212597397.0,0.3179658262702059
사당1동먹자골목상점가(사당1동먹자골목),18511143261.0,2310.0,8013481.931168831,58319202443.0,0.31741077527753253
용산용문시장,6625748394.0,2052.0,3228922.2192982454,20907589409.0,0.31690637616729944
뚝도시장,4535126039.0,2094.0,2165771.7473734478,14311609327.0,0.3168844212679926
노량진초등학교,1387695241.0,372.0,3730363.551075269,4379783133.0,0.3168410852455785
까치산역 4번,3260809286.0,2454.0,1328773.140179299,10310954547.0,0.3162470817940654
건대입구역 6번,6297765236.0,3204.0,1965594.642946317,19925750464.0,0.31606163328092557
돌곶이역 5번,2274973232.0,660.0,3446929.139393939,7200386961.0,0.31595152376144636
신한은행 방학동지점,776609248.0,768.0,1011209.9583333334,2462091055.0,0.3154266965159012
길음시장,192890394.0,240.0,803709.975,613811529.0,0.31425019714805646
어린이대공원역,13235041642.0,5184.0,2553055.872299383,42419246121.0,0.31200558360342673
동대문역 1번,889336986.0,708.0,1256125.686440678,2855879415.0,0.3114056501576766
신대방역 1번,838568167.0,474.0,1769131.1540084388,2698012949.0,0.31080954126287996
홍대소상공인상점가,11611516632.0,3540.0,3280089.4440677967,37364245527.0,0.3107654515226149
신당 미래유산 먹거리 골목형상점가,2977025848.0,312.0,9541749.512820512,9582520932.0,0.31067251187090855
증산역 1번,1957632722.0,816.0,2399059.7083333335,6304406824.0,0.31051814653641396
화곡역,14502810994.0,2886.0,5025229.034650034,46747994641.0,0.31023386362075966
온수역 1번,271162175.0,120.0,2259684.7916666665,874377336.0,0.3101203151496141
면목역 1번,194731798.0,444.0,438585.13063063065,628739831.0,0.3097176103672045
강남을지병원,18442157174.0,6522.0,2827684.3259736276,59732088776.0,0.3087479033783588
이촌종합시장,5110648325.0,1182.0,4323729.5473773265,16558922266.0,0.30863411536713115
도산공원북측,2001389327.0,192.0,10423902.744791666,6488037111.0,0.30847377916608837
암사동성당(효정하나플러스아파트),1462061365.0,1242.0,1177183.0636070853,4744016568.0,0.30819061106617957
송정역,5183056283.0,1602.0,3235365.9694132335,16821843439.0,0.30811464283299234
동묘앞역 2번,794282169.0,702.0,1131456.0811965812,2578097404.0,0.30808850269491217
영등포구청역,23182537709.0,7434.0,3118447.364675814,75639127052.0,0.30648869986379657
강남역,155112434238.0,23832.0,6508578.140231621,506109956304.0,0.30647971316499883
