commercial_area,total_sales
아현역 2번,21560350550.0
목동역 5번,21550717021.0
도봉구보건소,21459214862.0
양재화물트럭터미널앞,21408667919.0
우이골목시장(우이시장),21370386113.0
한영중고,21354264919.0
가산초등학교(세일중학교),21327658140.0
남구로역 5번,21273826779.0
성수119안전센터,21103716945.0
성수역 골목형상점가,21101855450.0
신서초등학교,21088909578.0
공덕시장,21016139799.0
자양한강도서관,21000856259.0
동문시장,20966901565.0
목사랑시장(목4동시장),20948583433.0
독산동정훈단지,20676650316.0
대림역 2번,20671971819.0
바우뫼공원,20592592869.0
독산119안전센터,20591801684.0
숭인시장,20586164413.0
응암역 3번,20517552976.0
신원동주민센터,20438824129.0
보인중학교,20425408823.0
숭실대입구역 4번,20099768396.0
문정역 1번,20095567418.0
뜸부기어린이공원,20086838864.0
상월곡역 2번,20030022638.0
영등포유통상가,19987348433.0
강남언주로,19981087258.0
삼양골목시장(삼양시장),19969194278.0
성산중학교,19918769211.0
신길3동주민센터,19899595097.0
곰달래도서관,19812586477.0
한성대입구역 3번,19795729388.0
경희대삼거리,19612476531.0
장안현대홈타운1차아파트,19513475685.0
창동역 2번,19499654231.0
돌곶이역 8번,19466447299.0
장스여성병원,19418301316.0
방이역 2번,19403233244.0
독산2동주민센터,19354763154.0
방화역 1번,19340185932.0
창2동주민센터,19180851224.0
발산역 5번,19169872478.0
태릉시장 특화거리,19099842688.0
무학봉상점가,18987271552.0
솔밭공원역 2번,18852307812.0
신월1동주민센터,18845799878.0
영등포청과시장교차로,18815007072.0
배화여자대학교(박노수미술관),18812459330.0
말미고개,18791031895.0
대림중앙 골목형상점가,18788877481.0
공항시장역 1번,18759139689.0
흑리단길,18758595273.0
강남골목시장,18736290420.0
삼성산자연공원(서울금천초등학교),18719501343.0
이화달팽이길,18671395517.0
삼선중학교,18616176961.0
"솔샘시장(미아6,7동골목시장)",18601693079.0
금남시장,18442026176.0
영등포역 2번,18441248789.0
윗방죽마을공원,18365749192.0
신사1동주민센터,18324456674.0
포이초등학교(개포목련어린이공원),18304827796.0
투구봉어린이공원,18128109119.0
성곡미술관,17965745164.0
신월1동우편취급국,17927732453.0
길음역 8번,17913759809.0
광나루역 1번,17800150417.0
정릉우체국,17755542846.0
역촌노인복지관,17674666519.0
응암3동주민센터,17540219650.0
상왕십리역 3번,17533071296.0
증산역 3번,17513906851.0
북한산우이역 2번,17471128532.0
전곡시장,17314892336.0
신월문화체육센터,17280269237.0
구로나눔길,17264424297.0
가산동우체국,17219067654.0
강동성심병원,17149401743.0
국립정신건강센터,17113638853.0
서울역 15번,17048955221.0
자양4동주민센터,16999541662.0
강동구립성내도서관,16984648442.0
신월7동주민센터,16970556120.0
독산동 맛나는거리상점가(독산동 맛나는거리),16943071232.0
한국상담대학원대학교,16904875578.0
더케이호텔(양재리본타워2단지아파트),16864273476.0
가인초등학교,16838320960.0
성남고등학교,16796782768.0
서경대학교,16774466877.0
중곡역 3번,16726261399.0
서울고교교차로,16720594619.0
숭례문수입상가(남대문시장),16699152481.0
영등포구청역 2번,16688978998.0
마천시장,16655054278.0
금천구청역 1번 출입구,16493682330.0
난우초등학교,16356513267.0
석촌고분역 4번,16250591764.0
까치산역 1번,16211958957.0
NH농협은행 상도동지점,16204654048.0
신성초등학교,16169447900.0
답십리시장,16108613571.0
청계천공구상가,16097194462.0
마포구청역 7번,16071032892.0
시흥4동주민센터(서울신흥초등학교),16031672429.0
삼선동주민센터,15964374909.0
효창공원앞역 6번,15957343036.0
논현2동주민센터,15934723079.0
수유1동주민센터,15869819965.0
명일전통시장,15836622215.0
삼양사거리역 2번,15732276901.0
국악고교사거리,15578505973.0
불광역 8번,15570151167.0
경찰청앞교차로,15539043306.0
아차산역 1번,15528944063.0
삼양입구사거리,15472825486.0
천호지구대(천호동자전거거리),15431016348.0
언주역 3번,15356717915.0
성내전통시장,15348163215.0
연신내역 4번,15342001950.0
장충단 고개,15341582732.0
만리시장,15274049461.0
연신내역 5번,15249177191.0
경향신문사,15188690782.0
고척동성당,15188552914.0
영진시장A동,15139706908.0
행당역 2번,15117821387.0
면목역 3번,15091784744.0
연신내역 7번,15072692318.0
테크노상가(엘리시움),15052356404.0
열정도,15051885964.0
퇴계로5가,15002987781.0
신구중학교,15002598548.0
홍제3동주민센터,14961068128.0
종암아이파크2차,14958254585.0
선정릉역 4번,14955800296.0
미근동,14936714487.0
장지동주민센터(한림연예예술고교),14928621340.0
한성백제역 3번,14863614218.0
신논현역 1번,14777644212.0
연희대우아파트앞,14764279087.0
동화동 골목형상점가,14761112776.0
우리시장,14748786245.0
한성대입구역 5번,14747304898.0
신월4동주민센터,14611883483.0
계상초등학교,14580929588.0
은평세무서,14577883753.0
망우역 2번,14524263960.0
광운대역 1번,14515059531.0
러스크서울병원,14503780384.0
도봉세무서,14470359081.0
벌말어린이공원,14453881883.0
영신여고,14438706214.0
강북구청,14417586903.0
연신내역 2번,14357051722.0
돌곶이역 5번,14330878707.0
건대입구역 1번,14300581900.0
중랑역 1번,14288312216.0
망우역 1번,14182564836.0
둔촌2동주민센터,14170883369.0
불광역 7번,14149874164.0
아현가구거리상점가,14038635088.0
KT월곡지사,14023913556.0
동일여자고등학교,14009541455.0
성신여대입구역 4번,13993476937.0
서울독일학교,13972980184.0
전농로터리시장,13963306063.0
제기동역 1번,13887916716.0
신정1동 골목시장(신정제일시장),13790953498.0
충정로역,13782555779.0
배문고등학교,13718655613.0
낙성대역 1번(관악구민 종합체육센터),13718028754.0
디지털단지오거리,13700353818.0
동북프라자,13675596009.0
서울시립대,13629684200.0
장충동주민센터,13615939735.0
동묘시장(동묘벼룩시장),13573636934.0
미아역 8번,13554209760.0
이촌동점보아파트,13520995071.0
성자초등학교,13503255471.0
답십리초등학교,13358778228.0
전농중학교,13303568844.0
보라매역 6번,13290997103.0
증산역 4번,13199526807.0
국민은행방학지점,13182083913.0
이대역 5번,13056021530.0
수궁동주민센터,12978968924.0
서서울 골목형상점가,12959140201.0
옥수역 6번,12910603355.0
잠원역,12895329867.0
아차산역 5번,12885837299.0
도곡시장,12884515245.0
시흥초등학교(시흥1동우체국),12846602064.0
신성시장(신성골목시장),12717381724.0
노량진역 6번,12709307304.0
종암중학교,12691488381.0
오류시장,12664436064.0
KC대학교,12659292377.0
수유초등학교,12585478319.0
연트럴파크(연남동주민센터),12537609205.0
화곡역 5번,12515394610.0
쌍문역둘리상점가,12433686028.0
백산초등학교,12405534579.0
강북중학교,12388278125.0
고덕동성당,12381043173.0
군자역 5번,12331731716.0
용두동신동아아파트,12319645664.0
하나은행 망우동지점,12263810664.0
서울지방병무청,12209801670.0
세곡초등학교,12198495230.0
대림역 5번,12181741551.0
개봉중학교,12160377056.0
증산역 1번,12140423132.0
노량진중앙시장,12132652997.0
구산보건지소,12099121318.0
4.19민주묘지역 2번,12076917020.0
대조시장,12066488946.0
영락고등학교,12022378641.0
전곡마을마당공원,12011421354.0
구로초등학교,11981575383.0
중곡초등학교,11939959281.0
월드컵경기장역(월드컵경기장),11924593469.0
신금호역 골목형상점가,11918409793.0
보문역 5번,11858648091.0
고려대역 6번,11841563313.0
경동고등학교,11839907029.0
신정역 5번,11803171870.0
영등포푸르지오아파트,11800893732.0
이태원시장,11733514842.0
답십리공원,11650216791.0
화곡역 2번,11646079784.0
서울여자간호대학교,11643949285.0
보문역 4번,11588722624.0
이수역 5번,11554137239.0
장곡초등학교,11540357751.0
상수역 4번,11535508436.0
화곡초등학교,11454619416.0
홍릉시장,11386467685.0
역촌역 3번,11276881655.0
낙원시장(낙원지하시장(대일상가)),11253480940.0
서초소방서,11188423921.0
도봉구 정병원,11103240600.0
외대앞역 2번,11026139283.0
포방터시장,11015754759.0
대림1동주민센터,10997969841.0
신자초등학교,10980226502.0
쌍문초등학교,10906951204.0
G타워,10905887979.0
석촌역 6번,10853384246.0
창덕궁,10852745627.0
상계제일중학교,10839620596.0
숙대입구역 1번,10751265347.0
지향초등학교,10694572350.0
굽은다리역 3번,10610174020.0
화양제일골목시장,10463307944.0
회기시장,10453660066.0
양지어린이공원,10429018181.0
GS강동자이아파트,10399623810.0
동대문역 1번,10374334828.0
장미원골목시장,10362224213.0
중곡1동 마을마당,10355178518.0
청구역 1번,10273469073.0
KT구로지사,10273375498.0
이수역 9번,10238505104.0
묵1동도깨비시장,10206495945.0
서울국제고등학교,10201395697.0
황학코아루아파트,10151687128.0
충무초등학교,10119616434.0
온수역 5번(온수산업단지),10114028489.0
우면주공아파트,10065191776.0
망원역 1번,9979645910.0
금천해태공원,9943635592.0
