commercial_area,age,total_sales
강남시장(강남구 강남시장),FORTIES,1165213353.0
강남시장(강남구 강남시장),FIFTIES,947770970.0
강남시장(강남구 강남시장),SIXTIES_PLUS,576902010.0
강남시장(동작구 강남시장),TEENS,4327803.0
강남시장(동작구 강남시장),TWENTIES,95076206.0
강남시장(동작구 강남시장),THIRTIES,133957684.0
강남시장(동작구 강남시장),FORTIES,191735263.0
강남시장(동작구 강남시장),FIFTIES,184747198.0
강남시장(동작구 강남시장),SIXTIES_PLUS,136874575.0
강남언주로,TEENS,7704942.0
강남언주로,TWENTIES,1547910702.0
강남언주로,THIRTIES,4178944411.0
강남언주로,FORTIES,3167153589.0
강남언주로,FIFTIES,2311183141.0
강남언주로,SIXTIES_PLUS,1049942047.0
강남역,TEENS,5437812787.0
