commercial_area,weekend_sales,weekday_sales,total_shops,weekend_per_shop,weekday_per_shop,weekend_index
성내천어린이공원(하니사랑길),5149019958.0,8388583199.0,654.0,7873119.201834862,12826579.814984709,0.6138128258194796
하나은행 망우동지점,4242111904.0,6913009315.0,900.0,4713457.6711111115,7681121.461111112,0.6136418614098165
청와대사랑채,1405075602.0,2290677487.0,144.0,9757469.458333334,15907482.548611112,0.6133886633862919
명일역 1번,946006020.0,1544761051.0,324.0,2919771.6666666665,4767781.021604938,0.6123963440090644
홍대 걷고싶은 거리,28779536757.0,47049701459.0,5472.0,5259418.266995614,8598264.155519007,0.6116837273043918
압구정로데오역(압구정로데오),62609539427.0,102863008217.0,12738.0,4915178.161956351,8075287.189276181,0.6086691465888184
고척중학교,692954243.0,1139007097.0,48.0,14436546.729166666,23729314.520833332,0.6083844822610442
유진상가,830515518.0,1369370152.0,120.0,6920962.65,11411417.933333334,0.6064945382276742
목동역 5번,1089709094.0,1798562082.0,288.0,3783712.1319444445,6245007.229166667,0.6058779426664239
NH농협은행 상도동지점,4504442959.0,7463727140.0,834.0,5401010.742206235,8949313.117505996,0.6035112048589708
역촌역 3번,1268093158.0,2103028371.0,288.0,4403101.243055556,7302181.84375,0.6029843322546409
용산구청,7363896342.0,12229151844.0,1998.0,3685633.8048048047,6120696.618618619,0.6021592041653285
서서울 골목형상점가,1264931304.0,2102092417.0,636.0,1988885.6981132075,3305176.756289308,0.6017486642215503
증산역 1번,2366179395.0,3938227429.0,816.0,2899729.650735294,4826259.104166667,0.6008234510724596
보문역 5번,1588383276.0,2650270471.0,918.0,1730265.0065359478,2887004.8703703703,0.5993287452660148
수유동우체국,1824401752.0,3044935021.0,384.0,4751046.229166667,7929518.283854167,0.5991595023925471
수색성당,757398501.0,1264333070.0,108.0,7012949.083333333,11706787.685185185,0.5990498223699867
돌곶이역 3번,955275477.0,1594943443.0,144.0,6633857.479166667,11075996.131944444,0.5989400321325375
동남상가,278328890.0,465659470.0,216.0,1288559.6759259258,2155830.8796296297,0.5977090726835212
오산중학교,1596188774.0,2670571037.0,378.0,4222721.624338624,7065002.7433862435,0.5976956807683674
영등포역(영등포),89898194490.0,150461479500.0,11850.0,7586345.526582278,12697171.265822785,0.5974831218511313
배화여자대학교(박노수미술관),6710376722.0,11247317784.0,2952.0,2273162.846205962,3810067.0,0.5966201765496413
삼각산119안전센터,741884817.0,1244648109.0,144.0,5151977.895833333,8643389.645833334,0.5960598916556904
홍릉시장,1203995539.0,2020928550.0,816.0,1475484.7291666667,2476628.125,0.5957635360240717
성산중학교,4500887237.0,7563481382.0,2634.0,1708765.0861807137,2871481.1624905085,0.5950814194785309
조원동주민센터,588014704.0,989918488.0,264.0,2227328.4242424243,3749691.242424242,0.594003153924326
남구로역 5번,2099153294.0,3534555751.0,2220.0,945564.5468468468,1592142.2301801802,0.5938945208053672
